Ecology,439.0,456.0,431.0,404.0,415.0,468.0,449.0,453.0,482.0,432.0,Biological and biomedical sciences,Life sciences
Endocrinology,22.0,33.0,23.0,32.0,26.0,39.0,26.0,22.0,11.0,21.0,Biological and biomedical sciences,Life sciences
Entomology,119.0,131.0,122.0,113.0,120.0,118.0,112.0,109.0,127.0,129.0,Biological and biomedical sciences,Life sciences
Environmental toxicologyc,na,na,39.0,30.0,45.0,33.0,49.0,35.0,45.0,64.0,Biological and biomedical sciences,Life sciences
Epidemiologyd,na,na,na,na,na,na,292.0,378.0,343.0,351.0,Biological and biomedical sciences,Life sciences
Evolutionary biology,178.0,215.0,214.0,213.0,203.0,209.0,215.0,210.0,200.0,224.0,Biological and biomedical sciences,Life sciences
"Genetics, genomics, human and animal",413.0,364.0,383.0,374.0,334.0,396.0,401.0,359.0,339.0,345.0,Biological and biomedical sciences,Life sciences
Immunology,424.0,434.0,452.0,449.0,455.0,471.0,456.0,471.0,399.0,401.0,Biological and biomedical sciences,Life sciences
Microbiology,538.0,586.0,490.0,462.0,451.0,455.0,463.0,480.0,466.0,410.0,Biological and biomedical sciences,Life sciences
Molecular biology,786.0,763.0,697.0,716.0,620.0,646.0,670.0,632.0,549.0,624.0,Biological and biomedical sciences,Life sciences
Molecular medicine,na,na,na,na,na,na,na,na,25.0,67.0,Biological and biomedical sciences,Life sciences
"Neurosciences, neurobiologye",883.0,983.0,954.0,958.0,1053.0,1016.0,1048.0,1091.0,997.0,985.0,Biological and biomedical sciences,Life sciences
Nutrition sciences,176.0,174.0,180.0,163.0,183.0,177.0,175.0,184.0,204.0,215.0,Biological and biomedical sciences,Life sciences
Parasitology,23.0,24.0,37.0,26.0,29.0,26.0,26.0,31.0,20.0,16.0,Biological and biomedical sciences,Life sciences
"Pathology, human and animal",105.0,106.0,79.0,83.0,95.0,95.0,99.0,88.0,49.0,69.0,Biological and biomedical sciences,Life sciences
"Pharmacology, human and animal",281.0,343.0,290.0,301.0,308.0,286.0,292.0,243.0,208.0,236.0,Biological and biomedical sciences,Life sciences
"Physiology, human and animal",241.0,244.0,258.0,226.0,254.0,210.0,208.0,210.0,166.0,165.0,Biological and biomedical sciences,Life sciences
Plant genetics,47.0,48.0,52.0,45.0,41.0,37.0,48.0,57.0,67.0,49.0,Biological and biomedical sciences,Life sciences
Plant pathology and phytopathology (biological sciences),29.0,26.0,19.0,18.0,25.0,21.0,29.0,20.0,13.0,11.0,Biological and biomedical sciences,Life sciences
Plant physiology,26.0,13.0,28.0,15.0,19.0,25.0,17.0,18.0,13.0,16.0,Biological and biomedical sciences,Life sciences
Structural biology,na,na,53.0,71.0,57.0,67.0,59.0,64.0,47.0,55.0,Biological and biomedical sciences,Life sciences
Toxicology,137.0,120.0,99.0,96.0,101.0,99.0,117.0,104.0,85.0,81.0,Biological and biomedical sciences,Life sciences
Virology,na,na,134.0,178.0,162.0,162.0,163.0,164.0,142.0,109.0,Biological and biomedical sciences,Life sciences
Wildlife biology,na,na,na,na,na,na,36.0,47.0,47.0,62.0,Biological and biomedical sciences,Life sciences
Zoology,61.0,79.0,72.0,65.0,51.0,40.0,32.0,46.0,38.0,44.0,Biological and biomedical sciences,Life sciences
"Biological and biomedical sciences, general",150.0,173.0,184.0,168.0,223.0,256.0,245.0,258.0,770.0,391.0,Biological and biomedical sciences,Life sciences
"Biological and biomedical sciences, other",82.0,81.0,83.0,64.0,92.0,103.0,66.0,72.0,123.0,112.0,Biological and biomedical sciences,Life sciences
Environmental health,69.0,42.0,66.0,56.0,67.0,70.0,77.0,79.0,76.0,84.0,Health sciences,Life sciences
Environmental toxicologyc,43.0,37.0,na,na,na,na,na,na,na,na,Health sciences,Life sciences
